
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        132 K
Registry                       124 Services                   0    116,340 K
smss.exe                       576 Services                   0      1,196 K
csrss.exe                      664 Services                   0      5,400 K
wininit.exe                    752 Services                   0      6,948 K
csrss.exe                      768 Console                    1      5,624 K
services.exe                   824 Services                   0     10,584 K
lsass.exe                      852 Services                   0     16,724 K
winlogon.exe                   912 Console                    1     13,068 K
svchost.exe                    388 Services                   0      3,340 K
fontdrvhost.exe                656 Console                    1      6,056 K
fontdrvhost.exe                688 Services                   0      3,464 K
svchost.exe                    748 Services                   0     28,264 K
WUDFHost.exe                  1040 Services                   0     17,952 K
svchost.exe                   1112 Services                   0     11,820 K
svchost.exe                   1164 Services                   0      7,560 K
sppsvc.exe                    1208 Services                   0     12,560 K
dwm.exe                       1236 Console                    1     80,224 K
svchost.exe                   1280 Services                   0      3,824 K
svchost.exe                   1360 Services                   0      5,952 K
svchost.exe                   1428 Services                   0      7,204 K
WUDFHost.exe                  1508 Services                   0      8,224 K
WUDFHost.exe                  1560 Services                   0      5,564 K
svchost.exe                   1692 Services                   0     59,360 K
svchost.exe                   1848 Services                   0     13,244 K
svchost.exe                   1856 Services                   0     10,524 K
svchost.exe                   1876 Services                   0      7,668 K
svchost.exe                   1896 Services                   0      7,604 K
svchost.exe                   1908 Services                   0      5,328 K
svchost.exe                   1924 Services                   0      7,788 K
svchost.exe                   1932 Services                   0      6,836 K
svchost.exe                   1952 Services                   0     11,972 K
svchost.exe                    568 Services                   0     10,204 K
svchost.exe                    820 Services                   0      9,924 K
svchost.exe                   2052 Services                   0      7,988 K
svchost.exe                   2184 Services                   0      7,600 K
IntelCpHDCPSvc.exe            2200 Services                   0      5,392 K
svchost.exe                   2236 Services                   0      8,640 K
svchost.exe                   2284 Services                   0     19,208 K
svchost.exe                   2392 Services                   0      7,180 K
svchost.exe                   2480 Services                   0     11,400 K
svchost.exe                   2600 Services                   0      7,604 K
svchost.exe                   2612 Services                   0     11,476 K
svchost.exe                   2624 Services                   0      8,940 K
svchost.exe                   2640 Services                   0      7,868 K
svchost.exe                   2648 Services                   0      5,860 K
svchost.exe                   2656 Services                   0      7,836 K
svchost.exe                   2764 Services                   0      6,600 K
svchost.exe                   2796 Services                   0      9,192 K
svchost.exe                   2820 Services                   0     10,012 K
Memory Compression            2864 Services                   0          N/A
svchost.exe                   2976 Services                   0     14,960 K
svchost.exe                   3008 Services                   0      8,160 K
svchost.exe                   2816 Services                   0     17,088 K
igfxCUIServiceN.exe           3076 Services                   0     10,040 K
svchost.exe                   3148 Services                   0      7,908 K
svchost.exe                   3160 Services                   0     10,280 K
svchost.exe                   3220 Services                   0      9,448 K
svchost.exe                   3360 Services                   0     12,384 K
audiodg.exe                   3444 Services                   0     11,828 K
svchost.exe                   3452 Services                   0      6,744 K
svchost.exe                   3500 Services                   0     18,168 K
svchost.exe                   3620 Services                   0     13,960 K
wlanext.exe                   3688 Services                   0      5,796 K
conhost.exe                   3696 Services                   0      9,860 K
spoolsv.exe                   3764 Services                   0     15,180 K
svchost.exe                   3808 Services                   0     16,156 K
svchost.exe                   3852 Services                   0      8,032 K
svchost.exe                   4048 Services                   0     14,600 K
Bridge_Service.exe            4056 Services                   0     22,100 K
WatchDog.exe                  4064 Services                   0      5,148 K
OneApp.IGCC.WinService.ex     4072 Services                   0     35,444 K
ACCSvc.exe                    4084 Services                   0      5,852 K
WatchDog.exe                  3208 Services                   0      5,136 K
IntelAudioService.exe         3232 Services                   0     47,504 K
TPMProvisioningService.ex     3248 Services                   0     11,448 K
RstMwService.exe              3424 Services                   0      7,336 K
svchost.exe                   3552 Services                   0      5,700 K
svchost.exe                   3560 Services                   0     14,248 K
RtkAudUService64.exe          3568 Services                   0      9,672 K
OfficeClickToRun.exe          3572 Services                   0     35,324 K
svchost.exe                   3712 Services                   0     20,444 K
GTFidoService.exe             3100 Services                   0     21,920 K
NortonSecurity.exe            4104 Services                   0      9,808 K
svchost.exe                   4112 Services                   0     12,096 K
